,len_motorway,len_total_road,len_rail,len_oil
BE,1763.0,155210.0,3612.0,294.0
BG,806.0,19925.0,4031.0,570.0
CZ,1346.0,130757.0,9523.0,631.0
DK,1355.0,74896.0,2485.0,330.0
DE,13155.0,229601.0,39799.0,2370.0
EE,199.0,65656.0,1167.0,
IE,995.0,103182.0,2045.0,
EL,2159.3,117852.3,2339.0,53.0
ES,15860.0,666738.0,16280.46,4722.0
FR,11664.359,1105094.241,27057.0,7142.0
HR,1316.0,26412.0,2617.0,610.0
IT,6978.0,235443.0,16832.0,3955.0
CY,257.0,13226.0,,
LV,,57458.0,1859.1,339.0
LT,400.0,73777.0,1910.8,500.0
LU,163.0,2909.0,263.0,
HU,1859.5,216509.87,7889.0,2235.6
MT,,2855.0,,
NL,2790.0,141242.0,3041.0,582.0
AT,1749.0,127982.0,5603.0,1214.0
PL,1761.0,431577.0,19287.0,2483.0
PT,3065.0,14325.0,2527.053,147.4
RO,931.0,86199.0,10764.0,3112.0
SI,616.111,38800.534,1209.0,
SK,544.558,57821.958,3626.0,506.0
FI,944.0,77906.0,5918.0,
SE,2185.0,200025.0,10912.0,
IS,41.0,12949.0,,
NO,580.0,95700.0,3851.0,1571.0
CH,1544.0,84113.0,4122.0,48.0
BA,218.0,9877.0,1018.0,
AL,24.7,3630.75,224.0,
ME,,8453.0,250.5,
MD,,9169.7,1149.6,
MK,335.0,14745.0,683.0,144.0
RS,932.0,44912.0,3369.0,280.0
TR,3523.0,256328.0,10378.0,3060.0
UA,199.0,164412.0,19790.0,4767.0
UK,3850.8,424630.0,16316.0,4446.0
