,stock_cars,stock_busses
BE,5927.912,16.628
BG,2830.464,17.731
CZ,6088.73,20.555
DK,2787.553,11.923
DE,48540.878,80.225
EE,825.936,5.374
IE,2250.257,11.09
EL,5604.192,26.584
ES,24913.132,64.3
FR,38738.589603,92.297
HR,1795.465,5.206
IT,39822.723,100.199
CY,592.156,2.774
LV,758.688,3.992
LT,1611.143,7.59
LU,439.79,2.345
HU,4020.159,17.759
MT,313.177,2.325
NL,8827.709,8.532
AT,5133.836,10.136
PL,25869.804,126.547
PT,5632.644,15.477
RO,7611.039,54.351
SI,1189.457,2.638
SK,2493.183,8.37
FI,3667.164,19.524
SE,4985.979,13.593
IS,289.017,3.625
LI,30.541,0.087
NO,3003.005,15.591
CH,4709.366,97.805
BA,983.077,3.944
ME,221.405,1.225
MD,716.906,21.076
MK,477.82,2.946
AL,593.28,7.867
RS,2235.794,10.392
TR,13706.065,693.688
UA,,253.446
UK,32889.462,102.6
