"unit,geo\time",2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
"MIO_PKM,AT",12855,8447,7375,13252,13122,12562,12497,12104,11981,11804,11211,10778,10263,10184,10365,9167,8907,8685,8274
"MIO_PKM,BA",31,18,14,56,39,29,24,34,35,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"MIO_PKM,BE",: c,: c,: c,: c,: c,: c,: c,: c,: c,: c,: ,10669,10498,10237,10139,9403,8964,8510,9225
"MIO_PKM,BG",1600,1203,1118,1520,1476,1434,1455,1549,1698,1821,1870,2059,2090,2138,2317,2404,2411,: ,: 
"MIO_PKM,CH",19201,14223,13261,21559,20451,20707,20657,20228,19934,19368,19180,19387,19093,18497,17699,: ,: ,: ,: 
"MIO_PKM,CZ",9394,6752,6623,10856,10220,9403,8738,8125,7644,7512,7196,6669 p,6559,6472,6773,6898,6922,6667,6580
"MIO_PKM,DE",92313,57518,57787,100252,98161,95529,95465,91050,90978,89450,93918,89316,82837,81206,82428,79098,78735,74944,75903
"MIO_PKM,DK",6376,4181,3940,6174,6182,6280,6332,6507,6513,6785,6744,6605,6341,6161,6267,6163,6097,5961,5921
"MIO_PKM,EE",382,290,263,392,417,366,316,286,280,223,235,243,247,249,274,274,257,248,193
"MIO_PKM,EL",1117,653,640,1252,1104,1112,1192,1263,1072,1056,832,958,1383,1467,1657,1930,1811,1854,1668
"MIO_PKM,ES",27489,17002,12060,28847,28420,27490,26646,26108,25034,23755,22446,22931,22343,23055,23453,21362,21620,21151,20328
"MIO_PKM,EU27_2007",: ,: ,: ,486337,470614,463798,453141,443666,: c,: c,: ,: c,: c,: c,: c,395465,388154,: ,: 
"MIO_PKM,EU27_2020",394474,261583,224516,415238,401656,395622,385958,378013,: c,: c,: ,: c,: c,: c,: c,346565,342179,: ,: 
"MIO_PKM,EU28",: ,: ,: ,487061,471362,464534,453968,444607,: c,: c,: ,: c,: c,: c,: c,397038,389477,: ,: 
"MIO_PKM,FI",4572,2903,2820,4924,4535,4271,3868,4114,3874,4053,4035,3882,3959,3876,4052,3778,3540,3478,3352
