"Sep=;"
Consumer Insights Global - Austria 2020 Update 2
Filter: -
Frequent users of modes of transportation
Recode based on Transportation usage frequency (multi-pick) Base: all respondents (Mobility, Travel)

""
"2018 - Update 1"
""
""
"2019 - Update 1"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"1,050 / 1,050";"100%";"1,047 / 1,047";"100%";"1,047 / 1,047";"100%";"1,051 / 1,051";"100%";"1,048 / 1,048";"100%";"1,040 / 1,040";"100%";"1,052 / 1,052";"100%"
"Bike rentals / bike sharing";"8 / 1,050";"1%";"21 / 1,047";"2%";"21 / 1,047";"2%";"31 / 1,051";"3%";"36 / 1,048";"3%";"16 / 1,040";"2%";"12 / 1,052";"1%"
"Car sharing (short periods, e.g., by the minute, not traditional car rental)";"6 / 1,050";"1%";"14 / 1,047";"1%";"15 / 1,047";"1%";"15 / 1,051";"1%";"10 / 1,048";"1%";"13 / 1,040";"1%";"3 / 1,052";"0%"
"Local public transportation";"341 / 1,050";"32%";"205 / 1,047";"20%";"276 / 1,047";"26%";"209 / 1,051";"20%";"295 / 1,048";"28%";"322 / 1,040";"31%";"329 / 1,052";"31%"
"Own bicycle";"222 / 1,050";"21%";"168 / 1,047";"16%";"322 / 1,047";"31%";"225 / 1,051";"21%";"357 / 1,048";"34%";"189 / 1,040";"18%";"319 / 1,052";"30%"
"Own motorcycle";"23 / 1,050";"2%";"21 / 1,047";"2%";"25 / 1,047";"2%";"35 / 1,051";"3%";"23 / 1,048";"2%";"57 / 1,040";"5%";"13 / 1,052";"1%"
"Own motor scooter";"27 / 1,050";"3%";"29 / 1,047";"3%";"39 / 1,047";"4%";"107 / 1,051";"10%";"27 / 1,048";"3%";"57 / 1,040";"5%";"10 / 1,052";"1%"
"Own / household car";"766 / 1,050";"73%";"779 / 1,047";"74%";"775 / 1,047";"74%";"889 / 1,051";"85%";"743 / 1,048";"71%";"773 / 1,040";"74%";"669 / 1,052";"64%"
"Ride sharing / ride hailing (short distance incl. driver, e.g., Uber)";"5 / 1,050";"0%";"21 / 1,047";"2%";"6 / 1,047";"1%";"11 / 1,051";"1%";"27 / 1,048";"3%";"25 / 1,040";"2%";"26 / 1,052";"2%"
"Taxis";"16 / 1,050";"2%";"13 / 1,047";"1%";"21 / 1,047";"2%";"10 / 1,051";"1%";"24 / 1,048";"2%";"22 / 1,040";"2%";"9 / 1,052";"1%"
"Occasional user / non-user";"0 / 1,050";"0%";"0 / 1,047";"0%";"0 / 1,047";"0%";"0 / 1,051";"0%";"0 / 1,048";"0%";"0 / 1,040";"0%";"0 / 1,052";"0%"
""
""
"2019 - Update 2"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,101 / 2,101";"100%";"2,097 / 2,097";"100%";"2,093 / 2,093";"100%";"2,100 / 2,100";"100%";"2,093 / 2,093";"100%";"2,090 / 2,090";"100%";"2,102 / 2,102";"100%"
"Bike rentals / bike sharing";"13 / 2,101";"1%";"36 / 2,097";"2%";"29 / 2,093";"1%";"43 / 2,100";"2%";"68 / 2,093";"3%";"48 / 2,090";"2%";"27 / 2,102";"1%"
"Car sharing (short periods, e.g., by the minute, not traditional car rental)";"11 / 2,101";"1%";"27 / 2,097";"1%";"24 / 2,093";"1%";"32 / 2,100";"2%";"20 / 2,093";"1%";"46 / 2,090";"2%";"13 / 2,102";"1%"
"Local public transportation";"676 / 2,101";"32%";"396 / 2,097";"19%";"560 / 2,093";"27%";"454 / 2,100";"22%";"610 / 2,093";"29%";"696 / 2,090";"33%";"680 / 2,102";"32%"
"Own bicycle";"551 / 2,101";"26%";"387 / 2,097";"18%";"698 / 2,093";"33%";"508 / 2,100";"24%";"727 / 2,093";"35%";"436 / 2,090";"21%";"627 / 2,102";"30%"
"Own motorcycle";"52 / 2,101";"2%";"75 / 2,097";"4%";"59 / 2,093";"3%";"95 / 2,100";"5%";"49 / 2,093";"2%";"152 / 2,090";"7%";"31 / 2,102";"1%"
"Own motor scooter";"60 / 2,101";"3%";"65 / 2,097";"3%";"83 / 2,093";"4%";"220 / 2,100";"10%";"61 / 2,093";"3%";"114 / 2,090";"5%";"21 / 2,102";"1%"
"Own / household car";"1,530 / 2,101";"73%";"1,558 / 2,097";"74%";"1,494 / 2,093";"71%";"1,788 / 2,100";"85%";"1,530 / 2,093";"73%";"1,575 / 2,090";"75%";"1,365 / 2,102";"65%"
"Ride sharing / ride hailing (short distance incl. driver, e.g., Uber)";"6 / 2,101";"0%";"50 / 2,097";"2%";"15 / 2,093";"1%";"14 / 2,100";"1%";"47 / 2,093";"2%";"56 / 2,090";"3%";"53 / 2,102";"3%"
"Taxis";"27 / 2,101";"1%";"24 / 2,097";"1%";"31 / 2,093";"1%";"18 / 2,100";"1%";"59 / 2,093";"3%";"54 / 2,090";"3%";"20 / 2,102";"1%"
"Occasional user / non-user";"0 / 2,101";"0%";"0 / 2,097";"0%";"0 / 2,093";"0%";"0 / 2,100";"0%";"0 / 2,093";"0%";"0 / 2,090";"0%";"0 / 2,102";"0%"
""
""
"2020 - Update 1"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,090 / 2,090";"100%";"1,042 / 1,042";"100%";"2,095 / 2,095";"100%";"2,097 / 2,097";"100%";"2,103 / 2,103";"100%";"2,091 / 2,091";"100%";"2,094 / 2,094";"100%";"2,100 / 2,100";"100%";"1,062 / 1,062";"100%"
"Bike rentals / bike sharing";"8 / 2,090";"0%";"10 / 1,042";"1%";"44 / 2,095";"2%";"27 / 2,097";"1%";"34 / 2,103";"2%";"64 / 2,091";"3%";"53 / 2,094";"3%";"27 / 2,100";"1%";"16 / 1,062";"2%"
"Car sharing (short periods, e.g., by the minute, not traditional car rental)";"9 / 2,090";"0%";"5 / 1,042";"0%";"27 / 2,095";"1%";"27 / 2,097";"1%";"31 / 2,103";"1%";"23 / 2,091";"1%";"59 / 2,094";"3%";"18 / 2,100";"1%";"7 / 1,062";"1%"
"Local public transportation";"682 / 2,090";"33%";"285 / 1,042";"27%";"366 / 2,095";"17%";"598 / 2,097";"29%";"477 / 2,103";"23%";"581 / 2,091";"28%";"713 / 2,094";"34%";"627 / 2,100";"30%";"418 / 1,062";"39%"
"Motor scooter sharing (sit-down scooter for short periods, e.g., by the hour)";"3 / 1,039";"0%";"1 / 1,042";"0%";"6 / 1,045";"1%";"6 / 1,051";"1%";"10 / 1,054";"1%";"8 / 1,046";"1%";"13 / 1,044";"1%";"3 / 1,050";"0%";"9 / 1,062";"1%"
"Own bicycle";"577 / 2,090";"28%";"291 / 1,042";"28%";"373 / 2,095";"18%";"696 / 2,097";"33%";"509 / 2,103";"24%";"838 / 2,091";"40%";"468 / 2,094";"22%";"652 / 2,100";"31%";"259 / 1,062";"24%"
"Own motorcycle";"69 / 2,090";"3%";"24 / 1,042";"2%";"102 / 2,095";"5%";"49 / 2,097";"2%";"104 / 2,103";"5%";"59 / 2,091";"3%";"174 / 2,094";"8%";"33 / 2,100";"2%";"36 / 1,062";"3%"
"Own motor scooter";"62 / 2,090";"3%";"9 / 1,042";"1%";"67 / 2,095";"3%";"76 / 2,097";"4%";"198 / 2,103";"9%";"67 / 2,091";"3%";"128 / 2,094";"6%";"20 / 2,100";"1%";"40 / 1,062";"4%"
"Own / household car";"1,515 / 2,090";"72%";"717 / 1,042";"69%";"1,571 / 2,095";"75%";"1,433 / 2,097";"68%";"1,764 / 2,103";"84%";"1,589 / 2,091";"76%";"1,593 / 2,094";"76%";"1,355 / 2,100";"65%";"682 / 1,062";"64%"
"Ride sharing / ride hailing (short distance incl. driver, e.g., Uber)";"6 / 2,090";"0%";"26 / 1,042";"2%";"42 / 2,095";"2%";"20 / 2,097";"1%";"17 / 2,103";"1%";"35 / 2,091";"2%";"51 / 2,094";"2%";"37 / 2,100";"2%";"3 / 1,062";"0%"
"Taxis";"19 / 2,090";"1%";"9 / 1,042";"1%";"23 / 2,095";"1%";"30 / 2,097";"1%";"17 / 2,103";"1%";"57 / 2,091";"3%";"59 / 2,094";"3%";"22 / 2,100";"1%";"12 / 1,062";"1%"
"Occasional user / non-user";"113 / 2,090";"5%";"91 / 1,042";"9%";"239 / 2,095";"11%";"174 / 2,097";"8%";"115 / 2,103";"5%";"152 / 2,091";"7%";"172 / 2,094";"8%";"175 / 2,100";"8%";"83 / 1,062";"8%"
""
""
"2020 - Update 2"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,085 / 2,085";"100%";"2,088 / 2,088";"100%";"2,094 / 2,094";"100%";"2,099 / 2,099";"100%";"2,099 / 2,099";"100%";"2,095 / 2,095";"100%";"2,093 / 2,093";"100%";"2,090 / 2,090";"100%";"2,081 / 2,081";"100%"
"Bike rentals / bike sharing";"13 / 2,085";"1%";"28 / 2,088";"1%";"59 / 2,094";"3%";"32 / 2,099";"2%";"38 / 2,099";"2%";"59 / 2,095";"3%";"50 / 2,093";"2%";"51 / 2,090";"2%";"51 / 2,081";"2%"
"Car sharing (short periods, e.g., by the minute, not traditional car rental)";"12 / 2,085";"1%";"10 / 2,088";"0%";"28 / 2,094";"1%";"27 / 2,099";"1%";"24 / 2,099";"1%";"27 / 2,095";"1%";"56 / 2,093";"3%";"16 / 2,090";"1%";"26 / 2,081";"1%"
"Local public transportation";"681 / 2,085";"33%";"529 / 2,088";"25%";"334 / 2,094";"16%";"551 / 2,099";"26%";"410 / 2,099";"20%";"562 / 2,095";"27%";"633 / 2,093";"30%";"552 / 2,090";"26%";"796 / 2,081";"38%"
"Motor scooter sharing (sit-down scooter for short periods, e.g., by the hour)";"6 / 2,085";"0%";"7 / 2,088";"0%";"15 / 2,094";"1%";"10 / 2,099";"0%";"20 / 2,099";"1%";"16 / 2,095";"1%";"25 / 2,093";"1%";"19 / 2,090";"1%";"24 / 2,081";"1%"
