"Sep=;"
Consumer Insights Global - Austria 2020 Update 2
Filter: -
Modes of transportation for commuting
Which modes of transportation do you use for your daily commute to work/school/university? (multi-pick) Base: respondents who commute (Mobility, Travel)

""
"2018 - Update 1"
""
""
"2019 - Update 1"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"834 / 834";"100%";"882 / 882";"100%";"804 / 804";"100%";"942 / 942";"100%";"881 / 881";"100%";"934 / 934";"100%";"874 / 874";"100%"
"Bike rentals / bike sharing";"1 / 834";"0%";"9 / 882";"1%";"5 / 804";"1%";"22 / 942";"2%";"32 / 881";"4%";"11 / 934";"1%";"2 / 874";"0%"
"Car sharing (short periods, e.g., by the minute, not traditional car rental)";"6 / 834";"1%";"7 / 882";"1%";"15 / 804";"2%";"20 / 942";"2%";"8 / 881";"1%";"9 / 934";"1%";"4 / 874";"0%"
"Own / household car";"531 / 834";"64%";"579 / 882";"66%";"550 / 804";"68%";"675 / 942";"72%";"586 / 881";"67%";"608 / 934";"65%";"427 / 874";"49%"
"Own bicycle";"129 / 834";"15%";"95 / 882";"11%";"153 / 804";"19%";"98 / 942";"10%";"185 / 881";"21%";"66 / 934";"7%";"210 / 874";"24%"
"Own motor scooter (e.g., Vespa)";"23 / 834";"3%";"22 / 882";"2%";"26 / 804";"3%";"71 / 942";"8%";"22 / 881";"2%";"33 / 934";"4%";"7 / 874";"1%"
"Own motorcycle";"22 / 834";"3%";"19 / 882";"2%";"22 / 804";"3%";"24 / 942";"3%";"25 / 881";"3%";"45 / 934";"5%";"9 / 874";"1%"
"Public transportation";"311 / 834";"37%";"173 / 882";"20%";"224 / 804";"28%";"223 / 942";"24%";"331 / 881";"38%";"254 / 934";"27%";"310 / 874";"35%"
"Ride sharing / ride hailing (short distance incl. driver, e.g., Uber)";"1 / 834";"0%";"25 / 882";"3%";"5 / 804";"1%";"6 / 942";"1%";"15 / 881";"2%";"14 / 934";"1%";"4 / 874";"0%"
"Taxis";"6 / 834";"1%";"11 / 882";"1%";"15 / 804";"2%";"8 / 942";"1%";"43 / 881";"5%";"16 / 934";"2%";"13 / 874";"1%"
"Other";"48 / 834";"6%";"120 / 882";"14%";"45 / 804";"6%";"68 / 942";"7%";"39 / 881";"4%";"114 / 934";"12%";"94 / 874";"11%"
""
""
"2019 - Update 2"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"1,679 / 1,679";"100%";"1,791 / 1,791";"100%";"1,628 / 1,628";"100%";"1,901 / 1,901";"100%";"1,765 / 1,765";"100%";"1,898 / 1,898";"100%";"1,779 / 1,779";"100%"
"Bike rentals / bike sharing";"5 / 1,679";"0%";"20 / 1,791";"1%";"15 / 1,628";"1%";"32 / 1,901";"2%";"61 / 1,765";"3%";"32 / 1,898";"2%";"8 / 1,779";"0%"
"Car sharing (short periods, e.g., by the minute, not traditional car rental)";"8 / 1,679";"0%";"15 / 1,791";"1%";"24 / 1,628";"1%";"34 / 1,901";"2%";"19 / 1,765";"1%";"26 / 1,898";"1%";"5 / 1,779";"0%"
"Own / household car";"1,066 / 1,679";"63%";"1,184 / 1,791";"66%";"1,053 / 1,628";"65%";"1,359 / 1,901";"71%";"1,165 / 1,765";"66%";"1,199 / 1,898";"63%";"878 / 1,779";"49%"
"Own bicycle";"290 / 1,679";"17%";"224 / 1,791";"13%";"357 / 1,628";"22%";"190 / 1,901";"10%";"355 / 1,765";"20%";"149 / 1,898";"8%";"415 / 1,779";"23%"
"Own motor scooter (e.g., Vespa)";"39 / 1,679";"2%";"42 / 1,791";"2%";"48 / 1,628";"3%";"132 / 1,901";"7%";"42 / 1,765";"2%";"62 / 1,898";"3%";"16 / 1,779";"1%"
"Own motorcycle";"46 / 1,679";"3%";"56 / 1,791";"3%";"48 / 1,628";"3%";"53 / 1,901";"3%";"40 / 1,765";"2%";"103 / 1,898";"5%";"27 / 1,779";"2%"
"Public transportation";"595 / 1,679";"35%";"347 / 1,791";"19%";"469 / 1,628";"29%";"464 / 1,901";"24%";"669 / 1,765";"38%";"574 / 1,898";"30%";"648 / 1,779";"36%"
"Ride sharing / ride hailing (short distance incl. driver, e.g., Uber)";"4 / 1,679";"0%";"52 / 1,791";"3%";"10 / 1,628";"1%";"13 / 1,901";"1%";"38 / 1,765";"2%";"28 / 1,898";"1%";"13 / 1,779";"1%"
"Taxis";"23 / 1,679";"1%";"21 / 1,791";"1%";"20 / 1,628";"1%";"14 / 1,901";"1%";"90 / 1,765";"5%";"47 / 1,898";"2%";"22 / 1,779";"1%"
"Other";"93 / 1,679";"6%";"219 / 1,791";"12%";"91 / 1,628";"6%";"140 / 1,901";"7%";"78 / 1,765";"4%";"235 / 1,898";"12%";"158 / 1,779";"9%"
""
""
"2020 - Update 1"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"1,683 / 1,683";"100%";"883 / 883";"100%";"1,779 / 1,779";"100%";"1,623 / 1,623";"100%";"1,883 / 1,883";"100%";"1,754 / 1,754";"100%";"1,917 / 1,917";"100%";"1,761 / 1,761";"100%";"911 / 911";"100%"
"Bike rentals / bike sharing";"10 / 1,683";"1%";"9 / 883";"1%";"28 / 1,779";"2%";"21 / 1,623";"1%";"25 / 1,883";"1%";"51 / 1,754";"3%";"34 / 1,917";"2%";"15 / 1,761";"1%";"11 / 911";"1%"
"Car sharing (short periods, e.g., by the minute, not traditional car rental)";"7 / 1,683";"0%";"3 / 883";"0%";"22 / 1,779";"1%";"21 / 1,623";"1%";"29 / 1,883";"2%";"20 / 1,754";"1%";"34 / 1,917";"2%";"4 / 1,761";"0%";"2 / 911";"0%"
"Motor scooter sharing (sit-down scooter for short periods, e.g., by the hour)";"1 / 838";"0%";"3 / 883";"0%";"3 / 870";"0%";"4 / 799";"1%";"8 / 924";"1%";"7 / 870";"1%";"7 / 953";"1%";"5 / 856";"1%";"7 / 911";"1%"
"Own / household car";"1,048 / 1,683";"62%";"516 / 883";"58%";"1,204 / 1,779";"68%";"997 / 1,623";"61%";"1,341 / 1,883";"71%";"1,180 / 1,754";"67%";"1,188 / 1,917";"62%";"881 / 1,761";"50%";"466 / 911";"51%"
"Own bicycle";"302 / 1,683";"18%";"202 / 883";"23%";"211 / 1,779";"12%";"381 / 1,623";"23%";"189 / 1,883";"10%";"392 / 1,754";"22%";"161 / 1,917";"8%";"429 / 1,761";"24%";"149 / 911";"16%"
"Own motor scooter (e.g., Vespa)";"40 / 1,683";"2%";"7 / 883";"1%";"44 / 1,779";"2%";"41 / 1,623";"3%";"113 / 1,883";"6%";"36 / 1,754";"2%";"64 / 1,917";"3%";"12 / 1,761";"1%";"25 / 911";"3%"
"Own motorcycle";"54 / 1,683";"3%";"18 / 883";"2%";"66 / 1,779";"4%";"53 / 1,623";"3%";"49 / 1,883";"3%";"46 / 1,754";"3%";"102 / 1,917";"5%";"31 / 1,761";"2%";"29 / 911";"3%"
"Public transportation";"579 / 1,683";"34%";"297 / 883";"34%";"329 / 1,779";"18%";"505 / 1,623";"31%";"471 / 1,883";"25%";"659 / 1,754";"38%";"621 / 1,917";"32%";"618 / 1,761";"35%";"361 / 911";"40%"
"Ride sharing / ride hailing (short distance incl. driver, e.g., Uber)";"6 / 1,683";"0%";"15 / 883";"2%";"37 / 1,779";"2%";"12 / 1,623";"1%";"13 / 1,883";"1%";"37 / 1,754";"2%";"29 / 1,917";"2%";"16 / 1,761";"1%";"5 / 911";"1%"
"Taxis";"29 / 1,683";"2%";"12 / 883";"1%";"20 / 1,779";"1%";"22 / 1,623";"1%";"18 / 1,883";"1%";"92 / 1,754";"5%";"55 / 1,917";"3%";"18 / 1,761";"1%";"7 / 911";"1%"
"Other";"110 / 1,683";"7%";"79 / 883";"9%";"210 / 1,779";"12%";"91 / 1,623";"6%";"134 / 1,883";"7%";"91 / 1,754";"5%";"245 / 1,917";"13%";"154 / 1,761";"9%";"78 / 911";"9%"
""
""
"2020 - Update 2"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"1,676 / 1,676";"100%";"1,756 / 1,756";"100%";"1,775 / 1,775";"100%";"1,603 / 1,603";"100%";"1,857 / 1,857";"100%";"1,748 / 1,748";"100%";"1,892 / 1,892";"100%";"1,740 / 1,740";"100%";"1,793 / 1,793";"100%"
"Bike rentals / bike sharing";"13 / 1,676";"1%";"18 / 1,756";"1%";"39 / 1,775";"2%";"21 / 1,603";"1%";"29 / 1,857";"2%";"41 / 1,748";"2%";"35 / 1,892";"2%";"23 / 1,740";"1%";"38 / 1,793";"2%"
"Car sharing (short periods, e.g., by the minute, not traditional car rental)";"10 / 1,676";"1%";"5 / 1,756";"0%";"19 / 1,775";"1%";"24 / 1,603";"1%";"28 / 1,857";"2%";"21 / 1,748";"1%";"32 / 1,892";"2%";"6 / 1,740";"0%";"18 / 1,793";"1%"
"Motor scooter sharing (sit-down scooter for short periods, e.g., by the hour)";"3 / 1,676";"0%";"4 / 1,756";"0%";"7 / 1,775";"0%";"9 / 1,603";"1%";"16 / 1,857";"1%";"12 / 1,748";"1%";"13 / 1,892";"1%";"13 / 1,740";"1%";"17 / 1,793";"1%"
