"Sep=;"
Consumer Insights Global - Austria 2020 Update 2
Filter: -
Transportation usage frequency: Local public transportation
How often do you use the following modes of transportation? (single-pick) Base: all respondents (Mobility, Travel)

""
"2018 - Update 1"
""
""
"2019 - Update 1"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"1,050 / 1,050";"100%";"1,047 / 1,047";"100%";"1,047 / 1,047";"100%";"1,051 / 1,051";"100%";"1,048 / 1,048";"100%";"1,040 / 1,040";"100%";"1,052 / 1,052";"100%"
"(Almost) daily";"223 / 1,050";"21%";"111 / 1,047";"11%";"145 / 1,047";"14%";"121 / 1,051";"12%";"151 / 1,048";"14%";"169 / 1,040";"16%";"199 / 1,052";"19%"
"2-5 times per week";"118 / 1,050";"11%";"94 / 1,047";"9%";"131 / 1,047";"13%";"88 / 1,051";"8%";"144 / 1,048";"14%";"153 / 1,040";"15%";"130 / 1,052";"12%"
"1-4 times per month";"138 / 1,050";"13%";"86 / 1,047";"8%";"172 / 1,047";"16%";"201 / 1,051";"19%";"201 / 1,048";"19%";"229 / 1,040";"22%";"169 / 1,052";"16%"
"Every 2-3 months";"108 / 1,050";"10%";"50 / 1,047";"5%";"119 / 1,047";"11%";"111 / 1,051";"11%";"128 / 1,048";"12%";"94 / 1,040";"9%";"104 / 1,052";"10%"
"Less often";"158 / 1,050";"15%";"67 / 1,047";"6%";"152 / 1,047";"15%";"172 / 1,051";"16%";"131 / 1,048";"13%";"128 / 1,040";"12%";"144 / 1,052";"14%"
"Not at all";"305 / 1,050";"29%";"639 / 1,047";"61%";"328 / 1,047";"31%";"358 / 1,051";"34%";"293 / 1,048";"28%";"267 / 1,040";"26%";"306 / 1,052";"29%"
""
""
"2019 - Update 2"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,101 / 2,101";"100%";"2,097 / 2,097";"100%";"2,093 / 2,093";"100%";"2,100 / 2,100";"100%";"2,093 / 2,093";"100%";"2,090 / 2,090";"100%";"2,102 / 2,102";"100%"
"(Almost) daily";"441 / 2,101";"21%";"215 / 2,097";"10%";"293 / 2,093";"14%";"230 / 2,100";"11%";"334 / 2,093";"16%";"368 / 2,090";"18%";"411 / 2,102";"20%"
"2-5 times per week";"235 / 2,101";"11%";"181 / 2,097";"9%";"267 / 2,093";"13%";"224 / 2,100";"11%";"276 / 2,093";"13%";"328 / 2,090";"16%";"269 / 2,102";"13%"
"1-4 times per month";"277 / 2,101";"13%";"199 / 2,097";"9%";"348 / 2,093";"17%";"370 / 2,100";"18%";"391 / 2,093";"19%";"440 / 2,090";"21%";"350 / 2,102";"17%"
"Every 2-3 months";"222 / 2,101";"11%";"118 / 2,097";"6%";"217 / 2,093";"10%";"251 / 2,100";"12%";"301 / 2,093";"14%";"188 / 2,090";"9%";"204 / 2,102";"10%"
"Less often";"293 / 2,101";"14%";"158 / 2,097";"8%";"319 / 2,093";"15%";"360 / 2,100";"17%";"252 / 2,093";"12%";"242 / 2,090";"12%";"290 / 2,102";"14%"
"Not at all";"633 / 2,101";"30%";"1,226 / 2,097";"58%";"649 / 2,093";"31%";"665 / 2,100";"32%";"539 / 2,093";"26%";"524 / 2,090";"25%";"578 / 2,102";"27%"
""
""
"2020 - Update 1"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,090 / 2,090";"100%";"1,042 / 1,042";"100%";"2,095 / 2,095";"100%";"2,097 / 2,097";"100%";"2,103 / 2,103";"100%";"2,091 / 2,091";"100%";"2,094 / 2,094";"100%";"2,100 / 2,100";"100%";"1,062 / 1,062";"100%"
"(Almost) daily";"436 / 2,090";"21%";"163 / 1,042";"16%";"193 / 2,095";"9%";"296 / 2,097";"14%";"216 / 2,103";"10%";"292 / 2,091";"14%";"358 / 2,094";"17%";"330 / 2,100";"16%";"227 / 1,062";"21%"
"2-5 times per week";"246 / 2,090";"12%";"122 / 1,042";"12%";"173 / 2,095";"8%";"302 / 2,097";"14%";"261 / 2,103";"12%";"289 / 2,091";"14%";"355 / 2,094";"17%";"297 / 2,100";"14%";"191 / 1,062";"18%"
"1-4 times per month";"259 / 2,090";"12%";"201 / 1,042";"19%";"209 / 2,095";"10%";"349 / 2,097";"17%";"359 / 2,103";"17%";"414 / 2,091";"20%";"447 / 2,094";"21%";"359 / 2,100";"17%";"196 / 1,062";"18%"
"Every 2-3 months";"217 / 2,090";"10%";"107 / 1,042";"10%";"106 / 2,095";"5%";"203 / 2,097";"10%";"237 / 2,103";"11%";"323 / 2,091";"15%";"199 / 2,094";"10%";"220 / 2,100";"10%";"108 / 1,062";"10%"
"Less often";"298 / 2,090";"14%";"141 / 1,042";"14%";"170 / 2,095";"8%";"314 / 2,097";"15%";"340 / 2,103";"16%";"249 / 2,091";"12%";"229 / 2,094";"11%";"305 / 2,100";"15%";"114 / 1,062";"11%"
"Not at all";"634 / 2,090";"30%";"308 / 1,042";"30%";"1,244 / 2,095";"59%";"633 / 2,097";"30%";"690 / 2,103";"33%";"524 / 2,091";"25%";"506 / 2,094";"24%";"589 / 2,100";"28%";"226 / 1,062";"21%"
""
""
"2020 - Update 2"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,085 / 2,085";"100%";"2,088 / 2,088";"100%";"2,094 / 2,094";"100%";"2,099 / 2,099";"100%";"2,099 / 2,099";"100%";"2,095 / 2,095";"100%";"2,093 / 2,093";"100%";"2,090 / 2,090";"100%";"2,081 / 2,081";"100%"
"(Almost) daily";"428 / 2,085";"21%";"250 / 2,088";"12%";"158 / 2,094";"8%";"261 / 2,099";"12%";"182 / 2,099";"9%";"228 / 2,095";"11%";"296 / 2,093";"14%";"244 / 2,090";"12%";"411 / 2,081";"20%"
"2-5 times per week";"253 / 2,085";"12%";"279 / 2,088";"13%";"176 / 2,094";"8%";"290 / 2,099";"14%";"228 / 2,099";"11%";"334 / 2,095";"16%";"337 / 2,093";"16%";"308 / 2,090";"15%";"385 / 2,081";"19%"
"1-4 times per month";"259 / 2,085";"12%";"399 / 2,088";"19%";"173 / 2,094";"8%";"354 / 2,099";"17%";"340 / 2,099";"16%";"418 / 2,095";"20%";"470 / 2,093";"22%";"342 / 2,090";"16%";"375 / 2,081";"18%"
