"Sep=;"
Consumer Insights Global - Austria 2020 Update 2
Filter: -
Transportation usage frequency: Own bicycle
How often do you use the following modes of transportation? (single-pick) Base: all respondents (Mobility, Travel)

""
"2018 - Update 1"
""
""
"2019 - Update 1"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"1,050 / 1,050";"100%";"1,047 / 1,047";"100%";"1,047 / 1,047";"100%";"1,051 / 1,051";"100%";"1,048 / 1,048";"100%";"1,040 / 1,040";"100%";"1,052 / 1,052";"100%"
"(Almost) daily";"81 / 1,050";"8%";"69 / 1,047";"7%";"115 / 1,047";"11%";"72 / 1,051";"7%";"149 / 1,048";"14%";"59 / 1,040";"6%";"148 / 1,052";"14%"
"2-5 times per week";"141 / 1,050";"13%";"99 / 1,047";"9%";"207 / 1,047";"20%";"153 / 1,051";"15%";"208 / 1,048";"20%";"130 / 1,040";"13%";"171 / 1,052";"16%"
"1-4 times per month";"191 / 1,050";"18%";"145 / 1,047";"14%";"208 / 1,047";"20%";"181 / 1,051";"17%";"233 / 1,048";"22%";"153 / 1,040";"15%";"163 / 1,052";"15%"
"Every 2-3 months";"148 / 1,050";"14%";"80 / 1,047";"8%";"94 / 1,047";"9%";"110 / 1,051";"10%";"79 / 1,048";"8%";"61 / 1,040";"6%";"91 / 1,052";"9%"
"Less often";"213 / 1,050";"20%";"153 / 1,047";"15%";"143 / 1,047";"14%";"166 / 1,051";"16%";"152 / 1,048";"15%";"154 / 1,040";"15%";"179 / 1,052";"17%"
"Not at all";"276 / 1,050";"26%";"501 / 1,047";"48%";"280 / 1,047";"27%";"369 / 1,051";"35%";"227 / 1,048";"22%";"483 / 1,040";"46%";"300 / 1,052";"29%"
""
""
"2019 - Update 2"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,101 / 2,101";"100%";"2,097 / 2,097";"100%";"2,093 / 2,093";"100%";"2,100 / 2,100";"100%";"2,093 / 2,093";"100%";"2,090 / 2,090";"100%";"2,102 / 2,102";"100%"
"(Almost) daily";"218 / 2,101";"10%";"146 / 2,097";"7%";"300 / 2,093";"14%";"182 / 2,100";"9%";"300 / 2,093";"14%";"150 / 2,090";"7%";"308 / 2,102";"15%"
"2-5 times per week";"333 / 2,101";"16%";"241 / 2,097";"11%";"398 / 2,093";"19%";"326 / 2,100";"16%";"427 / 2,093";"20%";"286 / 2,090";"14%";"319 / 2,102";"15%"
"1-4 times per month";"399 / 2,101";"19%";"327 / 2,097";"16%";"417 / 2,093";"20%";"363 / 2,100";"17%";"456 / 2,093";"22%";"306 / 2,090";"15%";"319 / 2,102";"15%"
"Every 2-3 months";"246 / 2,101";"12%";"147 / 2,097";"7%";"160 / 2,093";"8%";"189 / 2,100";"9%";"189 / 2,093";"9%";"125 / 2,090";"6%";"199 / 2,102";"9%"
"Less often";"366 / 2,101";"17%";"277 / 2,097";"13%";"270 / 2,093";"13%";"316 / 2,100";"15%";"296 / 2,093";"14%";"302 / 2,090";"14%";"380 / 2,102";"18%"
"Not at all";"539 / 2,101";"26%";"959 / 2,097";"46%";"548 / 2,093";"26%";"724 / 2,100";"34%";"425 / 2,093";"20%";"921 / 2,090";"44%";"577 / 2,102";"27%"
""
""
"2020 - Update 1"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,090 / 2,090";"100%";"1,042 / 1,042";"100%";"2,095 / 2,095";"100%";"2,097 / 2,097";"100%";"2,103 / 2,103";"100%";"2,091 / 2,091";"100%";"2,094 / 2,094";"100%";"2,100 / 2,100";"100%";"1,062 / 1,062";"100%"
"(Almost) daily";"226 / 2,090";"11%";"109 / 1,042";"10%";"125 / 2,095";"6%";"322 / 2,097";"15%";"184 / 2,103";"9%";"329 / 2,091";"16%";"161 / 2,094";"8%";"308 / 2,100";"15%";"119 / 1,062";"11%"
"2-5 times per week";"351 / 2,090";"17%";"182 / 1,042";"17%";"248 / 2,095";"12%";"374 / 2,097";"18%";"325 / 2,103";"15%";"509 / 2,091";"24%";"307 / 2,094";"15%";"344 / 2,100";"16%";"140 / 1,062";"13%"
"1-4 times per month";"391 / 2,090";"19%";"170 / 1,042";"16%";"341 / 2,095";"16%";"423 / 2,097";"20%";"345 / 2,103";"16%";"455 / 2,091";"22%";"330 / 2,094";"16%";"338 / 2,100";"16%";"177 / 1,062";"17%"
"Every 2-3 months";"216 / 2,090";"10%";"103 / 1,042";"10%";"148 / 2,095";"7%";"151 / 2,097";"7%";"179 / 2,103";"9%";"174 / 2,091";"8%";"137 / 2,094";"7%";"186 / 2,100";"9%";"88 / 1,062";"8%"
"Less often";"356 / 2,090";"17%";"230 / 1,042";"22%";"259 / 2,095";"12%";"254 / 2,097";"12%";"303 / 2,103";"14%";"230 / 2,091";"11%";"282 / 2,094";"13%";"375 / 2,100";"18%";"168 / 1,062";"16%"
"Not at all";"550 / 2,090";"26%";"248 / 1,042";"24%";"974 / 2,095";"46%";"573 / 2,097";"27%";"767 / 2,103";"36%";"394 / 2,091";"19%";"877 / 2,094";"42%";"549 / 2,100";"26%";"370 / 1,062";"35%"
""
""
"2020 - Update 2"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,085 / 2,085";"100%";"2,088 / 2,088";"100%";"2,094 / 2,094";"100%";"2,099 / 2,099";"100%";"2,099 / 2,099";"100%";"2,095 / 2,095";"100%";"2,093 / 2,093";"100%";"2,090 / 2,090";"100%";"2,081 / 2,081";"100%"
"(Almost) daily";"204 / 2,085";"10%";"284 / 2,088";"14%";"111 / 2,094";"5%";"281 / 2,099";"13%";"189 / 2,099";"9%";"301 / 2,095";"14%";"155 / 2,093";"7%";"312 / 2,090";"15%";"270 / 2,081";"13%"
"2-5 times per week";"349 / 2,085";"17%";"378 / 2,088";"18%";"252 / 2,094";"12%";"451 / 2,099";"21%";"341 / 2,099";"16%";"522 / 2,095";"25%";"336 / 2,093";"16%";"367 / 2,090";"18%";"319 / 2,081";"15%"
"1-4 times per month";"413 / 2,085";"20%";"369 / 2,088";"18%";"351 / 2,094";"17%";"403 / 2,099";"19%";"357 / 2,099";"17%";"488 / 2,095";"23%";"348 / 2,093";"17%";"354 / 2,090";"17%";"379 / 2,081";"18%"
