"Sep=;"
Consumer Insights Global - Austria 2020 Update 2
Filter: -
Transportation usage frequency: Own / household car
How often do you use the following modes of transportation? (single-pick) Base: all respondents (Mobility, Travel)

""
"2018 - Update 1"
""
""
"2019 - Update 1"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"1,050 / 1,050";"100%";"1,047 / 1,047";"100%";"1,047 / 1,047";"100%";"1,051 / 1,051";"100%";"1,048 / 1,048";"100%";"1,040 / 1,040";"100%";"1,052 / 1,052";"100%"
"(Almost) daily";"521 / 1,050";"50%";"546 / 1,047";"52%";"531 / 1,047";"51%";"665 / 1,051";"63%";"524 / 1,048";"50%";"565 / 1,040";"54%";"407 / 1,052";"39%"
"2-5 times per week";"245 / 1,050";"23%";"233 / 1,047";"22%";"244 / 1,047";"23%";"224 / 1,051";"21%";"219 / 1,048";"21%";"208 / 1,040";"20%";"262 / 1,052";"25%"
"1-4 times per month";"98 / 1,050";"9%";"89 / 1,047";"9%";"71 / 1,047";"7%";"84 / 1,051";"8%";"96 / 1,048";"9%";"112 / 1,040";"11%";"122 / 1,052";"12%"
"Every 2-3 months";"17 / 1,050";"2%";"16 / 1,047";"2%";"12 / 1,047";"1%";"13 / 1,051";"1%";"33 / 1,048";"3%";"22 / 1,040";"2%";"23 / 1,052";"2%"
"Less often";"12 / 1,050";"1%";"19 / 1,047";"2%";"18 / 1,047";"2%";"13 / 1,051";"1%";"30 / 1,048";"3%";"19 / 1,040";"2%";"31 / 1,052";"3%"
"Not at all";"157 / 1,050";"15%";"144 / 1,047";"14%";"171 / 1,047";"16%";"52 / 1,051";"5%";"146 / 1,048";"14%";"114 / 1,040";"11%";"207 / 1,052";"20%"
""
""
"2019 - Update 2"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,101 / 2,101";"100%";"2,097 / 2,097";"100%";"2,093 / 2,093";"100%";"2,100 / 2,100";"100%";"2,093 / 2,093";"100%";"2,090 / 2,090";"100%";"2,102 / 2,102";"100%"
"(Almost) daily";"1,042 / 2,101";"50%";"1,110 / 2,097";"53%";"1,014 / 2,093";"48%";"1,341 / 2,100";"64%";"1,090 / 2,093";"52%";"1,135 / 2,090";"54%";"835 / 2,102";"40%"
"2-5 times per week";"488 / 2,101";"23%";"448 / 2,097";"21%";"480 / 2,093";"23%";"447 / 2,100";"21%";"440 / 2,093";"21%";"440 / 2,090";"21%";"530 / 2,102";"25%"
"1-4 times per month";"181 / 2,101";"9%";"164 / 2,097";"8%";"164 / 2,093";"8%";"142 / 2,100";"7%";"168 / 2,093";"8%";"194 / 2,090";"9%";"226 / 2,102";"11%"
"Every 2-3 months";"33 / 2,101";"2%";"34 / 2,097";"2%";"28 / 2,093";"1%";"25 / 2,100";"1%";"43 / 2,093";"2%";"38 / 2,090";"2%";"43 / 2,102";"2%"
"Less often";"28 / 2,101";"1%";"42 / 2,097";"2%";"32 / 2,093";"2%";"25 / 2,100";"1%";"53 / 2,093";"3%";"33 / 2,090";"2%";"55 / 2,102";"3%"
"Not at all";"329 / 2,101";"16%";"299 / 2,097";"14%";"375 / 2,093";"18%";"120 / 2,100";"6%";"299 / 2,093";"14%";"250 / 2,090";"12%";"413 / 2,102";"20%"
""
""
"2020 - Update 1"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,090 / 2,090";"100%";"1,042 / 1,042";"100%";"2,095 / 2,095";"100%";"2,097 / 2,097";"100%";"2,103 / 2,103";"100%";"2,091 / 2,091";"100%";"2,094 / 2,094";"100%";"2,100 / 2,100";"100%";"1,062 / 1,062";"100%"
"(Almost) daily";"1,033 / 2,090";"49%";"465 / 1,042";"45%";"1,099 / 2,095";"52%";"946 / 2,097";"45%";"1,304 / 2,103";"62%";"1,099 / 2,091";"53%";"1,097 / 2,094";"52%";"802 / 2,100";"38%";"398 / 1,062";"37%"
"2-5 times per week";"482 / 2,090";"23%";"252 / 1,042";"24%";"472 / 2,095";"23%";"487 / 2,097";"23%";"460 / 2,103";"22%";"490 / 2,091";"23%";"496 / 2,094";"24%";"553 / 2,100";"26%";"284 / 1,062";"27%"
"1-4 times per month";"200 / 2,090";"10%";"75 / 1,042";"7%";"173 / 2,095";"8%";"180 / 2,097";"9%";"137 / 2,103";"7%";"155 / 2,091";"7%";"218 / 2,094";"10%";"209 / 2,100";"10%";"129 / 1,062";"12%"
"Every 2-3 months";"26 / 2,090";"1%";"7 / 1,042";"1%";"36 / 2,095";"2%";"28 / 2,097";"1%";"33 / 2,103";"2%";"22 / 2,091";"1%";"34 / 2,094";"2%";"51 / 2,100";"2%";"21 / 1,062";"2%"
"Less often";"31 / 2,090";"1%";"14 / 1,042";"1%";"31 / 2,095";"1%";"35 / 2,097";"2%";"32 / 2,103";"2%";"39 / 2,091";"2%";"32 / 2,094";"2%";"43 / 2,100";"2%";"22 / 1,062";"2%"
"Not at all";"318 / 2,090";"15%";"229 / 1,042";"22%";"284 / 2,095";"14%";"421 / 2,097";"20%";"137 / 2,103";"7%";"286 / 2,091";"14%";"217 / 2,094";"10%";"442 / 2,100";"21%";"208 / 1,062";"20%"
""
""
"2020 - Update 2"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,085 / 2,085";"100%";"2,088 / 2,088";"100%";"2,094 / 2,094";"100%";"2,099 / 2,099";"100%";"2,099 / 2,099";"100%";"2,095 / 2,095";"100%";"2,093 / 2,093";"100%";"2,090 / 2,090";"100%";"2,081 / 2,081";"100%"
"(Almost) daily";"999 / 2,085";"48%";"962 / 2,088";"46%";"1,022 / 2,094";"49%";"916 / 2,099";"44%";"1,260 / 2,099";"60%";"1,052 / 2,095";"50%";"1,060 / 2,093";"51%";"746 / 2,090";"36%";"787 / 2,081";"38%"
"2-5 times per week";"506 / 2,085";"24%";"484 / 2,088";"23%";"541 / 2,094";"26%";"520 / 2,099";"25%";"479 / 2,099";"23%";"514 / 2,095";"25%";"500 / 2,093";"24%";"586 / 2,090";"28%";"574 / 2,081";"28%"
"1-4 times per month";"200 / 2,085";"10%";"122 / 2,088";"6%";"204 / 2,094";"10%";"183 / 2,099";"9%";"162 / 2,099";"8%";"179 / 2,095";"9%";"266 / 2,093";"13%";"203 / 2,090";"10%";"237 / 2,081";"11%"
