"unit,geo\time",2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
"I15,AT",80.0 e,78.6 e,87.5 e,90.7 be,100.2,100.8,100,99,97.4,96.1,96.0 e,97.0 e,97.5 e,95.7 e,95,96.4,99.2,100.2,102,101.7,102.1,102.9,105,107,109.6,112.8,114.1,: ,: ,: ,: ,: 
"I15,BE",79.9 ep,80.9 ep,93.8 e,95.5 e,96.6 e,97.4 e,100,103.7 be,111.5 e,114.0 be,110.5,114.1,117.3,115.8,116.5,116.7,118.0 b,115.8 e,117.9 e,119.9 e,119.3 e,119.0 e,122.7 e,124.6 e,124.4 e,126.9 e,128.9 e,: ,: ,: ,: ,: 
"I15,BG",72.3 e,75.4 e,88.7 e,89.7 e,93.9 e,95.9 e,100,99.1 e,94.4 e,91.9 e,91.2 e,91.5 e,92.3 e,88.1 e,89.0 e,89.8 e,91.7 e,93.2 e,97.5 e,106.4 e,106.9 e,108.1 e,95.6 e,91.0 e,95.2 e,82.6 e,92.2 e,: ,: ,: ,: ,: 
"I15,CH",86.7 e,86.0 e,97.5 e,97.1 e,99.6 e,99.8 e,100,100.7 e,101.9 e,102.9,103.6,115.3,116.8,111.3,112.9,115.3,118.5,119.8,121.5,120,117.8,118,120.5,120.8,120.4,122,120.8,123,128.3,131,133.9,128.4
"I15,CY",76.3 e,75.5 e,90.1 e,92.4 e,94.2 e,97.9 e,100,100.4 e,96.8 e,91.1 e,87.2 e,86.9 e,89.9 e,85.6 e,82.7 e,82.7 e,83.6 e,84.5 e,82.5 e,82.6 e,83.4 e,84.4 e,86.9 e,89.0 e,92.3 e,92.5 e,90.7 e,: ,: ,: ,: ,: 
"I15,CZ",99.2,83.8,101.5,100.9,99.2,100.7,100,103.1 e,100.7,99.6,100,101.2,112.4,108.9,111,114.7,120.2,124.4,131.8,135.3,137.4,140.2,141.3,140.5,138.6,138.3,129.7,: ,: ,: ,: ,: 
"I15,DE",76.1 p,79.9 p,91.1 p,93.8,94.6,100,100,100.2,100.9,101.1,101.0 b,101.4 e,104.9 e,98.3 e,98.6 e,101.3 e,104.2 e,106.3 e,105.9 e,105.7 e,105.0 e,104.5 e,109.1 e,108.8 e,109.7 e,111.5 e,112.2,112.3,105.5,102.5 e,102.1 e,: 
"I15,DK",85.9 e,88.4 e,98.2 e,97.2 e,98.6 e,99.8 e,100,98.1 e,97.7 e,98.7 e,99.5 e,98.7 e,100.5 be,109.9,109.1,111.8,96.7 e,100.4 e,101.5 e,104.1,104.9,107.3,112.1,113.7,118.9,120.8,121.8,122.8,128.4,126.1 b,121.8 e,122.4 e
"I15,EE",77.7 e,79.1 e,100.2 e,97.8 e,99.8 e,104.2 e,100,95.9 e,93.9 e,91.9 e,90.6 e,95.1 e,101.9 e,88.8 e,82.2 e,89.5,110.8 b,90.5 e,94.0 e,95.5 e,100.6 e,105.2 e,103.2 e,101.9 e,: ,: ,: ,: ,: ,: ,: ,: 
"I15,EL",90.3 ep,91.6 ep,100.9 e,101.3 e,101.7 e,101.6 e,100,98.4 e,98.0 e,96.3 e,90.6 e,82.6 be,79.1 e,75.7 e,72.5 e,71.5 e,72.2 e,69.1 e,70.0 e,71.3 e,70.8 e,69.7 e,67.8 e,65.3 e,65.0 e,64.8 e,63.3 e,: ,: ,: ,: ,: 
"I15,ES",79.7 ep,77.5 ep,93.6 e,94.8 e,94.4 e,100.6 be,100,99.4,105.8,105.9,106.6,106.3,110.5,105.4,105.6,106.3,110.7,112.5,119.6,120.4,115.1,117.3,118.9,116.9,70.8,71.1 b,117.8 e,: ,: ,: ,: ,: 
"I15,EU27_2020",80.2 e,79.2 e,95.4 e,96.6 be,98.3 e,100.0 be,100,100.1 be,100.8 e,100.9 be,102.2 be,103.7 be,108.7 be,101.2 be,98.9 e,102.1 be,103.5 be,105.9 be,107.9 e,107.9 e,107.2 e,107.4 be,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"I15,EU28",: ,: ,96.6 e,97.6 be,99.0 e,99.9 be,100,100.3 be,101.1 e,101.7 be,103.0 be,104.4 be,109.3 be,102.2 be,100.3 e,103.2 be,105.0 be,107.5 be,109.5 e,110.1 e,109.4 e,109.7 be,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
"I15,FI",85,89.2,94,94.9,95.7,86.3,100,99.2,98.6,97.9,96.6,98.2,100.7,91.6,92.5,95.3,98.3,99.6,101.8,101.9,101.7,102.5,107,109.2,113,117.1,120.5,124.4,129.5,130.5,126.9,121.6
"I15,FR",85.8 p,79.2,94.6,96.7,99,100.2,100,99.8,99.6,106.6,107.1 e,108.7 e,109.4,96.6,97.1,98.4,100.8,103.3,106,106.4,106.5,105,108.4,109,109.8,110.6,110.1,114.8,114,111.8,110.9,110
"I15,HR",72.1 p,71.1,86.1,89.3,94.5,96.9,100,102.2,101.7,100.9,96.5,99.2 e,102.2 e,97.3 e,94.8 e,94.7 e,95.2 e,97.4 e,99.0 e,102.1 e,103.9 e,102.4 e,100.8 e,95.9 e,96.2 e,93.4 e,86.6 e,: ,: ,: ,: ,: 
"I15,HU",89.8 e,91.9 e,99.3 e,100.7 e,103.5 e,103.1 e,100,101.3,104.3,107.3 e,105.7,108.1 e,112.0 e,109.3 e,106.7 e,106.9 e,108.0 e,112.4 e,117.6 e,120.5 e,125.0 e,130.4,134.2,136,141.1,146.1 b,141.5 e,: ,: ,: ,: ,: 
"I15,IE",65.7 e,70.1 e,90.5 e,93.0 e,98.8 e,103.8 e,100,114.3 e,125.2 e,123.4 e,126.0 e,128.7 e,133.7 e,126.7 e,118.7 e,119.9 e,121.8 e,124.0 e,124.8 e,122.3 e,125.6 e,125.5 e,141.3 e,151.5 e,158.5 e,168.1 e,174.1 e,: ,: ,: ,: ,: 
"I15,IS",109.6 e,101.1 e,109.2 e,113.2 e,114.6 e,109.0 e,100,97.8 e,94.6 e,96.1 e,96.0 e,101.5 e,99.5 e,90.9 e,95.3 e,98.4 be,117,116.2,121.4,120.6,117.9,113.8,102.9,102.9,104.3,104.0 e,103.9 e,: ,: ,: ,: ,: 
